date,who,where,when,duration,subject,source,when_from,when_to,source_link
2016-01-04,נפתלי בנט,"לשכת רה""מ- ירושלים",,45 דקות,,יומן שר החינוך נפתלי בנט ,19:30,20:15,https://www.docdroid.net/SepERLJ/2016.pdf
2016-01-26,נפתלי בנט,"לשכת רה""מ- ת""א",,45 דקות,,יומן שר החינוך נפתלי בנט ,19:00,19:45,https://www.docdroid.net/SepERLJ/2016.pdf
2016-04-12,,"נמל ת""א",,שעה וחצי,אירוע גמר אולימפיאדת התכנות הלאומית,יומן שר החינוך נפתלי בנט ,9:30,11:00,https://www.docdroid.net/SepERLJ/2016.pdf
2016-06-22,נפתלי בנט,"לשכת רה""מ- ירושלים ?",,חצי שעה,הצגת פרויקט הדגל (?),יומן שר החינוך נפתלי בנט ,14:20,14:50,https://www.docdroid.net/SepERLJ/2016.pdf
2016-08-30,,,,,הלווית בנימין בן אליעזר,הפלוג של טל שניידר ,,,http://www.talschneider.com/2017/01/23/netanyahu-segal/
2016-08-30,שעיה סגל,ביתו של סגל,,כשעה,,הפלוג של טל שניידר ,,,http://www.talschneider.com/2017/01/23/netanyahu-segal/
2016-09-05,נפתלי בנט,"לשכת רה""מ- ירושלים ?",,שעה,עמונה,יומן שר החינוך נפתלי בנט ,19:00,20:00,https://www.docdroid.net/SepERLJ/2016.pdf
2016-09-30,שלדון אדלסון ועוד 3 תורמים יהודים,ניו יורק,,,ארוחת צהריים,הפלוג של טל שניידר ,,,http://www.talschneider.com/2017/01/23/netanyahu-segal/
2016-10-05,נפתלי בנט,"משרד רה""מ",,שעה,עמונה,יומן שר החינוך נפתלי בנט ,14:00,15:00,https://www.docdroid.net/SepERLJ/2016.pdf
2016-10-23,,"לשכת רה""מ- ירושלים",12:00,,חגיגת יום הולדת לראש הממשלה,יומן שר המדע והטכנולוגיה אופיר אקוניס ,,,https://www.odata.org.il/dataset/605c1915-0f02-469c-83c2-6e5823d05dcc/resource/ffca3d9b-8b0a-431e-8c48-11615dc0bd88/download/.xls
2016-10-25,יובל שטייניץ וראש הועדה לאנרגיה אטומית,"לשכת רה""מ- ירושלים",11:15,בערך שעה וחצי,,יומן שר האנרגיה יובל שטייניץ ,,,http://www.meida.org.il/?p=7160
2016-11-22,יריב לוין,"לשכת רה""מ",,חצי שעה,,יומן שר התיירות יריב לוין ,16:30,17:00,https://www.odata.org.il/dataset/0d870642-b440-4ad6-83ca-e6e685ee1185/resource/dddbce73-7cd1-4091-a862-35b0b28db268/download/-23-2016-15-2017.pdf
2016-11-30,יריב ליון,"לשכת רה""מ- ירושלים",,שעה,חוק הלאום,יומן שר התיירות יריב לוין ,13:00,14:00,https://www.odata.org.il/dataset/0d870642-b440-4ad6-83ca-e6e685ee1185/resource/dddbce73-7cd1-4091-a862-35b0b28db268/download/-23-2016-15-2017.pdf
2016-12-01,נפתלי בנט,"לשכת רה""מ- ירושלים",,שעה,,יומן שר החינוך נפתלי בנט ,20:30,21:30,https://www.docdroid.net/SepERLJ/2016.pdf
2016-12-05,יריב לוין,"לשכת רה""מ- ירושלים",,שעה,,יומן שר התיירות יריב לוין ,13:00,14:00,https://www.odata.org.il/dataset/0d870642-b440-4ad6-83ca-e6e685ee1185/resource/dddbce73-7cd1-4091-a862-35b0b28db268/download/-23-2016-15-2017.pdf
2016-12-05,נפתלי בנט,,,שעה,עמונה,יומן שר החינוך נפתלי בנט ,9:45,10:45,https://www.docdroid.net/SepERLJ/2016.pdf
2016-12-05,נפתלי בנט,"לשכת רה""מ",,עשר דקות,,יומן שר החינוך נפתלי בנט ,13:50,14:00,https://www.docdroid.net/SepERLJ/2016.pdf
2016-12-12,נפתלי בנט,"לשכת רה""מ",,45 דקות,,יומן שר החינוך נפתלי בנט ,10:30,11:15,https://www.docdroid.net/SepERLJ/2016.pdf
2017-01-25,,מליאה,16:00,,"שעת שאלות לרה""מ",יומן שר המדע והטכנולוגיה אופיר אקוניס ,,,https://www.odata.org.il/dataset/605c1915-0f02-469c-83c2-6e5823d05dcc/resource/ffca3d9b-8b0a-431e-8c48-11615dc0bd88/download/.xls
2017-01-30,יובל שטייניץ,"לשכת רה""מ- ירושלים",16:30,בערך 45 דקות,,יומן שר האנרגיה יובל שטייניץ ,,,http://www.meida.org.il/?p=7160
2017-02-02,"אופיר אקוניס, אלי שבירו וחברים",,15:00,,מפגש חברים,יומן שר המדע והטכנולוגיה אופיר אקוניס ,,,https://www.odata.org.il/dataset/605c1915-0f02-469c-83c2-6e5823d05dcc/resource/ffca3d9b-8b0a-431e-8c48-11615dc0bd88/download/.xls
2017-02-03,יובל שטייניץ,"לשכת רה""מ- ירושלים",,,מסווג- לא בטוח שראש הממשלה נכח,יומן שר האנרגיה יובל שטייניץ ,,,http://www.meida.org.il/?p=7160
2017-03-12,אופיר אקוניס,"משרד רה""מ",12:30,,,יומן שר המדע והטכנולוגיה אופיר אקוניס ,,,https://www.odata.org.il/dataset/605c1915-0f02-469c-83c2-6e5823d05dcc/resource/ffca3d9b-8b0a-431e-8c48-11615dc0bd88/download/.xls
2017-03-16,יובל שטייניץ,"לשכת רה""מ- ירושלים",14:15,בערך שעה,"פ.ע וא""א (ועדה לאנרגיה אטומית)",יומן שר האנרגיה יובל שטייניץ ,,,http://www.meida.org.il/?p=7160
2017-03-21,אופיר אקוניס ונשיא סין,,14:30,,ארוחת צהריים,יומן שר המדע והטכנולוגיה אופיר אקוניס ,,,https://www.odata.org.il/dataset/605c1915-0f02-469c-83c2-6e5823d05dcc/resource/ffca3d9b-8b0a-431e-8c48-11615dc0bd88/download/.xls
2017-03-27,יריב לוין,,,4.5 שעות,,יומן שר התיירות יריב לוין ,19:00,23:30,https://www.odata.org.il/dataset/0d870642-b440-4ad6-83ca-e6e685ee1185/resource/dddbce73-7cd1-4091-a862-35b0b28db268/download/-23-2016-15-2017.pdf
.
